Date,Merchant,Category,Account,Amount,Notes
2024-04-15,Salary,Paychecks,Chase Checking,5400.00,Annual raise kicked in
2024-04-29,Salary,Paychecks,Chase Checking,5400.00,
2024-04-30,Rent Payment,Rent,Chase Checking,-1850.00,Rent increase
2024-05-13,Salary,Paychecks,Chase Checking,5400.00,
2024-05-18,Halal Meat Co,Groceries,Chase Checking,-165.00,
2024-05-27,Salary,Paychecks,Chase Checking,5400.00,
2024-05-31,Rent Payment,Rent,Chase Checking,-1850.00,
2024-06-10,Salary,Paychecks,Chase Checking,5400.00,
2024-06-18,Costco,Groceries,Chase Checking,-240.00,
2024-06-24,Salary,Paychecks,Chase Checking,5400.00,
2024-06-30,Rent Payment,Rent,Chase Checking,-1850.00,
2024-07-08,Salary,Paychecks,Chase Checking,5400.00,
2024-07-15,Family Trip - Flights,Travel,Chase Checking,-2400.00,Annual Umrah planning
2024-07-22,Salary,Paychecks,Chase Checking,5400.00,
2024-07-30,Rent Payment,Rent,Chase Checking,-1850.00,
2024-08-05,Salary,Paychecks,Chase Checking,5400.00,
2024-08-19,Salary,Paychecks,Chase Checking,5400.00,
2024-08-22,Mosque Donation,Charity,Chase Checking,-250.00,
2024-08-30,Rent Payment,Rent,Chase Checking,-1850.00,
2024-09-02,Salary,Paychecks,Chase Checking,5400.00,
2024-09-10,Car Down Payment,Auto,Chase Checking,-9000.00,New Toyota Camry - cash down
2024-09-12,Toyota Dealer - Taxes & Fees,Auto,Chase Checking,-2800.00,DMV + sales tax
2024-09-16,Salary,Paychecks,Chase Checking,5400.00,
2024-09-25,Car Insurance,Insurance,Chase Checking,-185.00,
2024-09-30,Rent Payment,Rent,Chase Checking,-1850.00,
2024-10-03,Salary,Paychecks,Chase Checking,5400.00,
2024-10-14,Salary,Paychecks,Chase Checking,5400.00,
2024-10-28,Salary,Paychecks,Chase Checking,5400.00,
2024-10-30,Rent Payment,Rent,Chase Checking,-1850.00,
2024-11-06,Salary Bonus,Bonus,Chase Checking,3000.00,Q3 bonus
2024-11-11,Salary,Paychecks,Chase Checking,5400.00,
2024-11-25,Salary,Paychecks,Chase Checking,5400.00,
2024-11-30,Rent Payment,Rent,Chase Checking,-1850.00,
2024-12-09,Salary,Paychecks,Chase Checking,5400.00,
2024-12-18,Winter Coat,Shopping,Chase Checking,-220.00,
2024-12-23,Salary,Paychecks,Chase Checking,5400.00,
2024-12-30,Rent Payment,Rent,Chase Checking,-1850.00,
2025-01-06,Salary,Paychecks,Chase Checking,5400.00,
2025-01-15,401k Contribution,Retirement,Chase Checking,-500.00,Monthly auto
2025-01-20,Salary,Paychecks,Chase Checking,5400.00,
2025-01-30,Rent Payment,Rent,Chase Checking,-1850.00,
2025-02-03,Salary,Paychecks,Chase Checking,5400.00,
2025-02-10,Baby Shower Expense,Gifts,Chase Checking,-350.00,First baby incoming
2025-02-17,Salary,Paychecks,Chase Checking,5400.00,
2025-02-28,Rent Payment,Rent,Chase Checking,-1850.00,
2025-03-03,Salary,Paychecks,Chase Checking,5400.00,
2025-03-15,Ramadan Mosque Donation,Charity,Chase Checking,-600.00,
2025-03-17,Salary,Paychecks,Chase Checking,5400.00,
2025-03-30,Rent Payment,Rent,Chase Checking,-1850.00,
2025-03-31,Salary,Paychecks,Chase Checking,5400.00,
2025-04-10,Baby Crib & Gear,Baby,Chase Checking,-850.00,
2025-04-14,Salary,Paychecks,Chase Checking,5400.00,
2025-04-15,Annual Zakat Payment,Charity,Chase Checking,-375.00,Annual zakat — year 2
